ML,0.09, MR,1.91, Pitch,3.56, Yaw,100000024.87, Roll,-0.38, Distance,-0.19586, X,-0.19587, Y,0.00195, Angle,0.68
ML,0.71, MR,2.38, Pitch,3.58, Yaw,100000024.9, Roll,-0.38, Distance,-0.19311, X,-0.19312, Y,0.00198, Angle,0.68
ML,2.04, MR,3.66, Pitch,3.68, Yaw,100000025.04, Roll,-0.38, Distance,-0.19116, X,-0.19117, Y,0.002, Angle,0.4
ML,-0.09, MR,0.46, Pitch,3.54, Yaw,100000025.41, Roll,-0.38, Distance,-0.1875, X,-0.18751, Y,0.00202, Angle,0.17
ML,3.02, MR,3.86, Pitch,3.8, Yaw,100000025.55, Roll,-0.38, Distance,-0.18624, X,-0.18625, Y,0.00202, Angle,0.11
ML,-1.13, MR,1.58, Pitch,3.46, Yaw,100000024.98, Roll,-0.38, Distance,-0.18234, X,-0.18235, Y,0.00205, Angle,0.45
ML,0.83, MR,0.48, Pitch,3.62, Yaw,100000025.72, Roll,-0.38, Distance,-0.18017, X,-0.18018, Y,0.00204, Angle,-0.17
ML,3.34, MR,4.87, Pitch,3.8, Yaw,100000025.66, Roll,-0.38, Distance,-0.17891, X,-0.17892, Y,0.00204, Angle,0
ML,-0.43, MR,0.58, Pitch,3.35, Yaw,100000025.59, Roll,-0.38, Distance,-0.1749, X,-0.17491, Y,0.00204, Angle,-0.28
ML,0, MR,-0.93, Pitch,3.47, Yaw,100000026.31, Roll,-0.38, Distance,-0.17318, X,-0.17319, Y,0.00201, Angle,-0.68
ML,0.28, MR,2.23, Pitch,3.69, Yaw,100000025.69, Roll,-0.38, Distance,-0.17123, X,-0.17124, Y,0.00201, Angle,-0.06
ML,4.36, MR,4.43, Pitch,3.81, Yaw,100000026.07, Roll,-0.38, Distance,-0.16986, X,-0.16987, Y,0.002, Angle,-0.51
ML,1.65, MR,2.62, Pitch,3.48, Yaw,100000025.88, Roll,-0.39, Distance,-0.16722, X,-0.16723, Y,0.00198, Angle,-0.57
ML,-0.14, MR,-0.76, Pitch,3.56, Yaw,100000026.45, Roll,-0.4, Distance,-0.16505, X,-0.16506, Y,0.00195, Angle,-0.85
ML,0.51, MR,1.97, Pitch,3.71, Yaw,100000025.92, Roll,-0.39, Distance,-0.16322, X,-0.16322, Y,0.00193, Angle,-0.28
ML,1.98, MR,2.64, Pitch,3.61, Yaw,100000025.97, Roll,-0.39, Distance,-0.1615, X,-0.16151, Y,0.00193, Angle,-0.45
ML,0.06, MR,1.05, Pitch,3.45, Yaw,100000025.86, Roll,-0.39, Distance,-0.15989, X,-0.1599, Y,0.00192, Angle,-0.57
ML,1.49, MR,1.73, Pitch,3.84, Yaw,100000026.01, Roll,-0.38, Distance,-0.15875, X,-0.15876, Y,0.00191, Angle,-0.34
ML,0.85, MR,2.45, Pitch,3.6, Yaw,100000025.75, Roll,-0.38, Distance,-0.15623, X,-0.15624, Y,0.0019, Angle,-0.23
ML,2.01, MR,1.55, Pitch,3.51, Yaw,100000026.11, Roll,-0.38, Distance,-0.1552, X,-0.15521, Y,0.00189, Angle,-0.62
ML,-1.15, MR,0.83, Pitch,3.57, Yaw,100000025.55, Roll,-0.37, Distance,-0.15359, X,-0.1536, Y,0.00189, Angle,-0.06
ML,-0.97, MR,-0.69, Pitch,3.63, Yaw,100000025.91, Roll,-0.38, Distance,-0.15119, X,-0.1512, Y,0.00187, Angle,-0.34
