ML,0.09, MR,1.91, Pitch,3.56, Distance,-0.19586, Angle,0.68
ML,0.71, MR,2.38, Pitch,3.58, Distance,-0.19311, Angle,0.68
ML,2.04, MR,3.66, Pitch,3.68, Distance,-0.19116, Angle,0.4
ML,-0.09, MR,0.46, Pitch,3.54, Distance,-0.1875, Angle,0.17
ML,3.02, MR,3.86, Pitch,3.8, Distance,-0.18624, Angle,0.11
ML,-1.13, MR,1.58, Pitch,3.46, Distance,-0.18234, Angle,0.45
ML,0.83, MR,0.48, Pitch,3.62, Distance,-0.18017, Angle,-0.17
ML,3.34, MR,4.87, Pitch,3.8, Distance,-0.17891, Angle,0
ML,-0.43, MR,0.58, Pitch,3.35, Distance,-0.1749, Angle,-0.28
ML,0, MR,-0.93, Pitch,3.47, Distance,-0.17318, Angle,-0.68
ML,0.28, MR,2.23, Pitch,3.69, Distance,-0.17123, Angle,-0.06
ML,4.36, MR,4.43, Pitch,3.81, Distance,-0.16986, Angle,-0.51
ML,1.65, MR,2.62, Pitch,3.48, Distance,-0.16722, Angle,-0.57
ML,-0.14, MR,-0.76, Pitch,3.56, Distance,-0.16505, Angle,-0.85
ML,0.51, MR,1.97, Pitch,3.71, Distance,-0.16322, Angle,-0.28
ML,1.98, MR,2.64, Pitch,3.61, Distance,-0.1615, Angle,-0.45
ML,0.06, MR,1.05, Pitch,3.45, Distance,-0.15989, Angle,-0.57
ML,1.49, MR,1.73, Pitch,3.84, Distance,-0.15875, Angle,-0.34
ML,0.85, MR,2.45, Pitch,3.6, Distance,-0.15623, Angle,-0.23
ML,2.01, MR,1.55, Pitch,3.51, Distance,-0.1552, Angle,-0.62
ML,-1.15, MR,0.83, Pitch,3.57, Distance,-0.15359, Angle,-0.06
ML,-0.97, MR,-0.69, Pitch,3.63, Distance,-0.15119, Angle,-0.34
ML,0.96, MR,2.02, Pitch,3.65, Distance,-0.15039, Angle,-0.28
ML,1.21, MR,1.7, Pitch,3.59, Distance,-0.14959, Angle,-0.45
ML,-0.22, MR,1.69, Pitch,3.69, Distance,-0.14855, Angle,0.06
ML,1.48, MR,2.25, Pitch,4, Distance,-0.14718, Angle,-0.06
ML,4.32, MR,4.29, Pitch,3.83, Distance,-0.14569, Angle,-0.34
ML,0.12, MR,1.96, Pitch,3.43, Distance,-0.14397, Angle,-0.17
ML,-1.58, MR,-1.73, Pitch,3.37, Distance,-0.14248, Angle,-0.45
ML,0.22, MR,0.85, Pitch,3.8, Distance,-0.14283, Angle,-0.4
ML,1.49, MR,2.63, Pitch,3.84, Distance,-0.14122, Angle,-0.06
ML,2.31, MR,3.45, Pitch,3.7, Distance,-0.14077, Angle,-0.17
ML,-2.02, MR,-1.28, Pitch,3.44, Distance,-0.13859, Angle,-0.34
ML,0.51, MR,0.16, Pitch,3.72, Distance,-0.13836, Angle,-0.45
ML,0.27, MR,1.38, Pitch,3.79, Distance,-0.13722, Angle,-0.34
ML,3.02, MR,2.82, Pitch,3.87, Distance,-0.13779, Angle,-0.74
ML,-1.58, MR,-1.22, Pitch,3.59, Distance,-0.13527, Angle,-0.51
ML,-1.06, MR,-1.05, Pitch,3.73, Distance,-0.13481, Angle,-0.74
ML,1.12, MR,0.99, Pitch,3.89, Distance,-0.1347, Angle,-0.91
ML,2.47, MR,2.55, Pitch,3.93, Distance,-0.13458, Angle,-0.97
ML,1.37, MR,1.09, Pitch,3.68, Distance,-0.13252, Angle,-0.85
ML,0.02, MR,0.46, Pitch,3.68, Distance,-0.13275, Angle,-0.97
ML,0.19, MR,0.45, Pitch,3.8, Distance,-0.1316, Angle,-0.51
ML,-0.19, MR,1.3, Pitch,3.75, Distance,-0.13115, Angle,-0.28
ML,1.07, MR,1.99, Pitch,3.92, Distance,-0.13046, Angle,0.06
ML,0.8, MR,3.38, Pitch,3.87, Distance,-0.1292, Angle,0.57
ML,0.84, MR,3.71, Pitch,3.86, Distance,-0.12805, Angle,1.02
ML,-0.18, MR,1.52, Pitch,3.67, Distance,-0.12611, Angle,0.74
ML,1.55, MR,2.18, Pitch,3.75, Distance,-0.12565, Angle,0.51
ML,1.84, MR,2.26, Pitch,3.86, Distance,-0.12439, Angle,0
ML,3.3, MR,2.52, Pitch,3.9, Distance,-0.12313, Angle,-0.62
ML,-0.36, MR,-0.58, Pitch,3.55, Distance,-0.12015, Angle,-0.51
ML,0.97, MR,2.38, Pitch,3.69, Distance,-0.12015, Angle,-0.28
ML,-0.31, MR,0.47, Pitch,3.76, Distance,-0.11809, Angle,-0.17
ML,2.8, MR,3.12, Pitch,3.84, Distance,-0.11774, Angle,-0.45
ML,2.07, MR,2.62, Pitch,3.64, Distance,-0.1166, Angle,-0.34
ML,-2.04, MR,-1.16, Pitch,3.51, Distance,-0.11419, Angle,-0.28
ML,0.31, MR,0.45, Pitch,3.69, Distance,-0.11408, Angle,-0.34
ML,2.81, MR,3.45, Pitch,4.01, Distance,-0.11396, Angle,-0.4
ML,2.64, MR,2.47, Pitch,4.07, Distance,-0.11156, Angle,-0.57
ML,3.97, MR,4.24, Pitch,3.71, Distance,-0.10973, Angle,-0.57
ML,0.48, MR,1.08, Pitch,3.3, Distance,-0.10789, Angle,-0.57
ML,-2.85, MR,-2.82, Pitch,3.36, Distance,-0.10652, Angle,-0.57
ML,0.83, MR,-0.12, Pitch,3.82, Distance,-0.10675, Angle,-0.91
ML,0.38, MR,1.75, Pitch,3.79, Distance,-0.10549, Angle,-0.4
ML,2.4, MR,2.9, Pitch,3.94, Distance,-0.10526, Angle,-0.28
ML,-1.1, MR,0.81, Pitch,3.64, Distance,-0.10251, Angle,0.17
ML,3.01, MR,2.54, Pitch,3.92, Distance,-0.10263, Angle,-0.23
ML,0.44, MR,3.61, Pitch,3.84, Distance,-0.10022, Angle,0.97
ML,1.81, MR,3, Pitch,3.71, Distance,-0.0985, Angle,0.45
ML,1.89, MR,2.52, Pitch,3.57, Distance,-0.09701, Angle,0.17
ML,-1.27, MR,1.19, Pitch,3.67, Distance,-0.09495, Angle,0.74
ML,1.97, MR,1.83, Pitch,3.82, Distance,-0.09323, Angle,0.11
ML,2.83, MR,4.34, Pitch,3.73, Distance,-0.09197, Angle,0.28
ML,1.07, MR,1.56, Pitch,3.48, Distance,-0.08945, Angle,0.17
ML,-1.51, MR,-0.73, Pitch,3.44, Distance,-0.08785, Angle,-0.06
